pygame 2.5.2 (SDL 2.28.2, Python 3.11.8)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5326381 function calls (5320367 primitive calls) in 124.085 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
       68    0.000    0.000    0.003    0.000 __init__.py:2066(<genexpr>)
    15092    0.003    0.000    0.003    0.000 tasks.py:625(__sleep0)
       54    0.000    0.000    0.003    0.000 __init__.py:2041(<listcomp>)
       17    0.003    0.000    0.003    0.000 {built-in method pygame.transform.scale}
      172    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      216    0.000    0.000    0.003    0.000 __init__.py:2026(try_parse)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
  176/160    0.000    0.000    0.003    0.000 typing.py:359(inner)
        1    0.000    0.000    0.003    0.003 version.py:257(Version)
      226    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     7551    0.003    0.000    0.003    0.000 selector_events.py:737(_process_events)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        3    0.003    0.001    0.003    0.001 {method 'read' of '_io.TextIOWrapper' objects}
    61/11    0.000    0.000    0.003    0.000 pyparsing.py:3288(leaveWhitespace)
     1641    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.003    0.003 queue.py:1(<module>)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3363(copy)
       12    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
      196    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       54    0.000    0.000    0.002    0.000 __init__.py:2591(from_location)
     5621    0.002    0.000    0.002    0.000 _parser.py:168(__getitem__)
      121    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.002    0.001 pyparsing.py:1608(parseString)
   131/65    0.000    0.000    0.002    0.000 pyparsing.py:3365(<listcomp>)
      117    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
       23    0.002    0.000    0.002    0.000 sysfont.py:368(font_constructor)
      234    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      962    0.001    0.000    0.002    0.000 <frozen posixpath>:71(join)
  992/241    0.002    0.000    0.002    0.000 _parser.py:178(getwidth)
       61    0.000    0.000    0.002    0.000 pyparsing.py:3292(<listcomp>)
2279/2275    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
       13    0.001    0.000    0.002    0.000 enum.py:910(<listcomp>)
       10    0.002    0.000    0.002    0.000 {built-in method pygame.display.update}
    14557    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1250(setParseAction)
1151/1121    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0x93d360}
       27    0.000    0.000    0.002    0.000 pyparsing.py:1039(_trim_arity)
       25    0.000    0.000    0.002    0.000 enum.py:497(__new__)
      704    0.000    0.000    0.002    0.000 __init__.py:2058(<genexpr>)
       26    0.000    0.000    0.002    0.000 pyparsing.py:1047(extract_stack)
       17    0.002    0.000    0.002    0.000 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
       54    0.000    0.000    0.002    0.000 __init__.py:2578(__init__)
       82    0.000    0.000    0.002    0.000 _compiler.py:511(_compile_info)
       15    0.001    0.000    0.002    0.000 __init__.py:350(namedtuple)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
       26    0.000    0.000    0.001    0.000 traceback.py:217(extract_stack)
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 staggered.py:1(<module>)
     7546    0.001    0.000    0.001    0.000 {method 'get_fps' of 'pygame.time.Clock' objects}
       26    0.000    0.000    0.001    0.000 traceback.py:372(extract)
       26    0.000    0.000    0.001    0.000 traceback.py:394(_extract_from_extended_frame_gen)
    48/32    0.000    0.000    0.001    0.000 typing.py:486(__getitem__)
      140    0.000    0.000    0.001    0.000 sysfont.py:250(_parse_font_entry_unix)
        1    0.000    0.000    0.001    0.001 markers.py:1(<module>)
      744    0.001    0.000    0.001    0.000 __init__.py:2081(dist_factory)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      151    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
     1641    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     7552    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4904(makeHTMLTags)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4875(_makeTags)
       71    0.000    0.000    0.001    0.000 typing.py:1360(__init__)
       58    0.000    0.000    0.001    0.000 __init__.py:1317(safe_version)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       32    0.000    0.000    0.001    0.000 typing.py:665(Union)
     3022    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:740(_code_to_timestamp_pyc)
      122    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      471    0.001    0.000    0.001    0.000 copy.py:259(_reconstruct)
    111/5    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
        1    0.000    0.000    0.001    0.001 main.py:472(__initShop)
    629/1    0.001    0.000    0.001    0.001 copy.py:128(deepcopy)
     74/1    0.000    0.000    0.001    0.001 copy.py:227(_deepcopy_dict)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    148/3    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:3397(parseImpl)
       16    0.001    0.000    0.001    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
        9    0.000    0.000    0.001    0.000 <frozen posixpath>:412(realpath)
      214    0.000    0.000    0.001    0.000 __init__.py:2358(_normalize_cached)
      397    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.001    0.001 __init__.py:454(StrFormatStyle)
     3216    0.001    0.000    0.001    0.000 _parser.py:256(match)
        8    0.000    0.000    0.001    0.000 __init__.py:2341(normalize_path)
    54/10    0.000    0.000    0.001    0.000 pyparsing.py:3762(streamline)
     10/9    0.000    0.000    0.001    0.000 <frozen posixpath>:421(_joinrealpath)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4763(srange)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 locks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 specifiers.py:245(LegacySpecifier)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       28    0.000    0.000    0.001    0.000 enum.py:242(__set_name__)
        1    0.000    0.000    0.001    0.001 subprocess.py:807(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
      128    0.000    0.000    0.001    0.000 sysfont.py:42(_simplename)
      104    0.000    0.000    0.001    0.000 traceback.py:313(line)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
        9    0.001    0.000    0.001    0.000 {built-in method pygame.draw.polygon}
       15    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
       36    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       26    0.000    0.000    0.001    0.000 __init__.py:3292(<genexpr>)
      397    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
       25    0.000    0.000    0.001    0.000 __init__.py:2789(activate)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
    23/10    0.000    0.000    0.001    0.000 pyparsing.py:3547(parseImpl)
        1    0.000    0.000    0.001    0.001 subprocess.py:1789(_execute_child)
       41    0.000    0.000    0.001    0.000 __init__.py:2778(_get_metadata)
     4462    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       78    0.000    0.000    0.001    0.000 linecache.py:26(getline)
       34    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       16    0.000    0.000    0.001    0.000 typing.py:709(Optional)
    24/10    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1151(_cache_bytecode)
      387    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
        1    0.000    0.000    0.001    0.001 sndarray.py:1(<module>)
      397    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      151    0.000    0.000    0.001    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.001    0.001 surfarray.py:1(<module>)
      514    0.000    0.000    0.001    0.000 typing.py:1304(__setattr__)
